,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,query
85,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Pereskia,Pereskia aculeata,6,7707728,220,422,2519,3084442,5384215,Pereskia aculeata 
86,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phalaenopsis,NA,6,7707728,196,1169,7689,2804680,NA,Phalaenopsis
87,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron xanadu,6,7707728,196,551,6979,2861312,2870723,Philodendron xanadu
88,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron bipennifolium,6,7707728,196,551,6979,2861312,2870800,Philodendron bipennifolium
89,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron bipinnatifidum,6,7707728,196,551,6979,2861312,2870781,Philodendron bipinnatifidum 
90,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Philodendron,Philodendron lacinatum,6,7707728,196,551,6979,2861312,3604754,Philodendron lacinatum
91,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Phlebodium,Phlebodium aureum,6,7707728,7228684,392,2368,2650476,2650479,Phlabodium aurum 
92,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthus,Phyllanthus angustifolius,6,7707728,220,1414,8807,3061139,5381986,Phyllanthus angustifolius 
93,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Platycerium,Platycerium bifurcatum,6,7707728,7228684,392,2368,7126742,7126767,Platycerium bifurcatum
94,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Polyscias,Polyscias guilfoylei,6,7707728,220,1351,8800,3035574,3035681,"Polyscias guilfoylei	"
95,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Didiereaceae,Portulacaria,Portulacaria afra,6,7707728,220,422,3231952,3084776,3084777,Portulacaria afra
96,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Pseuderanthemum,NA,6,7707728,220,408,2393,8272053,NA,Pseuderanthemum 
97,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Rhipsalis,Rhipsalis baccifera,6,7707728,220,422,2519,3084035,3084036,Rhipsalis baccifera
98,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia spathacea,6,7707728,196,553,2763195,2765096,2765230,Rhoeo spathacea
99,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Sansevieria,Sansevieria hyacinthoides,6,7707728,196,1169,7683,2770498,2770547,Sansevieria grandis
100,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Schefflera,Schefflera arboricola,6,7707728,220,1351,8800,3037700,3038723,Scheffelera arboricola
101,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Sedum,Sedum nussbaumerianum,6,7707728,220,7219248,2406,5361975,5690070,Sedum nussbaumerianum
102,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Gesneriaceae,Sinningia,Sinningia insularis,6,7707728,220,408,6654,6365036,3817879,Sinningia insularis
103,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Spathiphyllum,Spathiphyllum montanum,6,7707728,196,551,6979,2869649,2869685,Spathiphyllum montanum
104,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Syngonium,Syngonium podophyllum,6,7707728,196,551,6979,2867833,2867866,Syngonium podophyllum
105,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Taccarum,Taccarum weddellianum,6,7707728,196,551,6979,2867467,2867469,Taccarum weddellianum
106,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia pallida,6,7707728,196,553,2763195,2765096,2765221,Tradescantia pallida
107,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Tulbaghia,NA,6,7707728,196,1169,7682,2859447,NA,Tulbaghieae 
108,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Sauromatum,Sauromatum venosum,6,7707728,196,551,6979,2867743,2869597,Typhonium venosum
109,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Zamioculcas,Zamioculcas zamiifolia,6,7707728,196,551,6979,2869013,2869014,Zamioculcas zamiifolia
110,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Zephyranthes,Zephyranthes atamasca,6,7707728,196,1169,7682,2859808,4270323,Zephyranthes atamasca
