,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,query
260,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrobium,Dendrobium loddigesii,6,7707728,196,1169,7689,2821327,5317287,Dendrobium loddogesii
261,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,Epidendrum ibaguense,6,7707728,196,1169,7689,5297341,5320873,Epidendrum ibaguense
262,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Epidendrum,Epidendrum radicans,6,7707728,196,1169,7689,5297341,5320619,Epidendrum radicans
263,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Laelia,Laelia rubescens,6,7707728,196,1169,7689,2819033,5314519,Laelia rubeschens
264,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ludisia,Ludisia discolor,6,7707728,196,1169,7689,2784178,8002439,Ludisia discolor
265,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oncidium,Oncidium sphacelatum,6,7707728,196,1169,7689,2834394,5322412,Oncidium sphacelatum
266,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phalaenopsis,NA,6,7707728,196,1169,7689,2804680,NA,Phalaenopsis
267,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vanda,NA,6,7707728,196,1169,7689,2783121,NA,Vanda
268,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Vanilla,Vanilla planifolia,6,7707728,196,1169,7689,2743233,2803398,Vanilla planifolia
269,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis tetraphylla,6,7707728,220,7224021,6697,2891642,7560711,Oxalis tetraphylla
270,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis triangularis,6,7707728,220,7224021,6697,2891642,7156971,Oxalis triangularis
271,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia caperata,6,7707728,220,404,6678,3086367,4186167,Peperomia caperata
272,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia clusiifolia,6,7707728,220,404,6678,3086367,4184364,Peperomia clusiifolia
273,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia dahlstedtii,6,7707728,220,404,6678,3086367,4190161,Peperomia dahlstedtii
274,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia incana,6,7707728,220,404,6678,3086367,8049505,Peperomia incana
275,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia obtusifolia,6,7707728,220,404,6678,3086367,3086423,Peperomia obtusifolia
276,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia serpens,6,7707728,220,404,6678,3086367,3086421,Peperomia scandens
277,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia dolabriformis,6,7707728,220,404,6678,3086367,7305648,Peperomia dolabriformis
278,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia orba,6,7707728,220,404,6678,3086367,4189505,Peperomia orba
279,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia rotundifolia,6,7707728,220,404,6678,3086367,3086378,Peperomia prostrata
280,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia verticillata,6,7707728,220,404,6678,3086367,8040674,Peperomia rubella
281,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia pedunculata,6,7707728,220,404,6678,3086367,4188017,Peperomia pedunculata
